Year,Month,Day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG,NowCast,AQI,Raw,AQI_CATEGORY,Temp_Category
2016,1,1,21.1,27.6,14.8,1018.8,66,2.79,1.8,0.6,3.5,0,1,0,0,11,77.74,388,78.47,HAZARDOUS,ok
2016,1,2,21.5,27,14.2,1018,64,2.79,2.6,2.4,9.4,0,1,0,0,11,77.74,312,78.47,HAZARDOUS,ok
2016,1,3,20.9,25.8,14.8,1016.5,63,2.79,2.6,2.2,9.4,0,1,0,0,11,77.74,305,78.47,HAZARDOUS,ok
2016,1,4,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,307,78.47,HAZARDOUS,cold
2016,1,5,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,294,78.47,VERY UNHEALTHY,cold
2016,1,6,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,252,78.47,VERY UNHEALTHY,cold
2016,1,7,21.6,26.6,14.6,1016.6,57,2.79,2.6,0.7,3.5,0,1,0,0,11,77.74,253,78.47,VERY UNHEALTHY,ok
2016,1,8,21.2,26.8,14.4,1014.5,68,2.79,1.9,1.1,3.5,0,1,0,0,11,77.74,254,78.47,VERY UNHEALTHY,ok
2016,1,9,21.7,25,18.4,1013.2,80,2.79,1,0.9,3.5,0,1,0,0,11,77.74,304,78.47,HAZARDOUS,ok
2016,1,10,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,325,78.47,HAZARDOUS,cold
2016,1,11,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,274,78.47,VERY UNHEALTHY,cold
2016,1,12,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,242,78.47,VERY UNHEALTHY,cold
2016,1,13,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,307,78.47,HAZARDOUS,cold
2016,1,14,20.3,25.2,14.2,1015,57,2.79,1.6,0,5.1,0,1,0,0,11,77.74,304,78.47,HAZARDOUS,ok
2016,1,15,21.2,26,14,1012.6,57,2.79,1.9,0.7,3.5,0,1,0,0,11,77.74,375,78.47,HAZARDOUS,ok
2016,1,16,19.2,26.6,14.9,1012.2,69,2.79,1.4,1.1,3.5,0,1,0,0,11,77.74,307,78.47,HAZARDOUS,cold
2016,1,17,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,331,78.47,HAZARDOUS,cold
2016,1,18,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,306,78.47,HAZARDOUS,cold
2016,1,19,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,290,78.47,VERY UNHEALTHY,cold
2016,1,20,19.1,22.8,16.5,1014.6,74,2.79,1.9,4.6,5.4,0,1,0,0,11,77.74,103,78.47,SENSITIVE,cold
2016,1,21,18.9,22.7,15.6,1015.9,74,2.79,1.9,3.5,7.2,0,1,0,0,11,77.74,102,78.47,SENSITIVE,cold
2016,1,22,17.3,20,14.8,1017.5,75,2.79,1.9,8.9,18.3,0,1,0,0,11,77.74,143,78.47,SENSITIVE,cold
2016,1,23,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,131,78.47,SENSITIVE,cold
2016,1,24,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,182,78.47,UNHEALTHY,cold
2016,1,25,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,306,78.47,HAZARDOUS,cold
2016,1,26,16.2,22.1,10.2,1015.1,58,2.79,1.9,1.1,3.5,0,1,0,0,11,77.74,301,78.47,HAZARDOUS,cold
2016,1,27,20.5,25,16.8,1014.1,47,2.79,2.3,1.1,3.5,0,1,0,0,11,77.74,369,78.47,HAZARDOUS,ok
2016,1,28,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,301,78.47,HAZARDOUS,cold
2016,1,29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,280,78.47,VERY UNHEALTHY,cold
2016,1,30,18.4,24.4,13.4,1013.8,70,2.79,1.8,0.9,5.4,0,1,0,0,11,77.74,385,78.47,HAZARDOUS,cold
2016,1,31,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,392,78.47,HAZARDOUS,cold
2016,2,1,21.7,28,17.8,1013.9,72,2.79,1.3,0.6,3.5,0,2,0,0,8,77.74,240,78.47,VERY UNHEALTHY,ok
2016,2,2,22.1,28.5,16.8,1015.2,68,2.79,1.6,1.9,5.4,0,2,0,0,8,77.74,302,78.47,HAZARDOUS,ok
2016,2,3,24,27.8,17.6,1014.1,46,3.43,2.4,1.9,5.4,0,2,0,0,8,77.74,279,78.47,VERY UNHEALTHY,ok
2016,2,4,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,208,78.47,VERY UNHEALTHY,ok
2016,2,5,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,237,78.47,VERY UNHEALTHY,ok
2016,2,6,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,320,78.47,HAZARDOUS,ok
2016,2,7,22.4,28.4,13.6,1014.5,51,2.29,2.3,0.6,4.6,0,2,0,0,8,77.74,362,78.47,HAZARDOUS,ok
2016,2,8,21.8,29.1,15.6,1013.8,60,3.18,2.6,0.6,4.6,0,2,0,0,8,77.74,369,78.47,HAZARDOUS,ok
2016,2,9,24.2,27.5,18.6,1012.3,65,0.51,1.9,0.6,3.5,0,2,0,0,8,77.74,263,78.47,VERY UNHEALTHY,ok
2016,2,10,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,246,78.47,VERY UNHEALTHY,ok
2016,2,11,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,230,78.47,VERY UNHEALTHY,ok
2016,2,12,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,199,78.47,UNHEALTHY,ok
2016,2,13,25.7,29,19.2,1013.8,45,2.824,2.7,0.9,3.5,0,2,0,0,8,77.74,240,78.47,VERY UNHEALTHY,great
2016,2,14,24.6,28.6,18.8,1013.6,57,2.9308,1.9,0.6,3.5,0,2,0,0,8,77.74,290,78.47,VERY UNHEALTHY,ok
2016,2,15,25.6,30.6,19.6,1014.9,64,3.13016,1.8,0.6,3.5,0,2,0,0,8,77.74,333,78.47,HAZARDOUS,great
2016,2,16,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,77.74,367,78.47,HAZARDOUS,ok
